,,STOPS MODEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC Collected Data (Flagler),,,,,,,,,,,,,,,
FID_1,ID,STATIONSEQ,STATION,STAT_CODE,STAT_GRP,GRP_NAME,DAILYBOARD,STOP_ID1,STOP_ID2,STOP_ID3,STOP_ID4,STOPSTYPE,NEWSTATION,Agency,FGSTP,STOPSTYPEB,PNR_PEN,DIFFGTFX,WALK_PEN,SAMEGTFX,STPID,KNR_PEN,BoardingBC,LAT,LONG,WPenBK,PpenBK,KpenBK,POINT_X,POINT_Y,FID_2,ROUTE,DAY,DIR,STOP,STOPNAME, DAY_ON , DAY_OFF , DAY_TOT , LAT_1 , LONG_1 , key , District , Distance , Difference ,bin,include.lowest
2289,14258,12358,N MIAMI AV@NW 117 ST,NMAV1174,45,MI_NE,3,5477     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,5477,5,3,0,0,10,5,5,-80.198355,25.881997,1267,2,1,0,32,N MIAMI AV NW 117 ST, 5 , 2 , 7 , 26 , (80), 2-N MIAMI AV NW 117 ST , 10 , 0 , (4),-20 to 0,TRUE
2554,15489,13589,NW 2 AV@NW 52 ST,D2AV#522,46,MI_FRG,5,6969     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6969,5,6,0,0,10,5,5,-80.19985,25.82347,1365,2,1,1,32,NW 2 AV NW 52 ST, 7 , 11 , 17 , 26 , (80), 2-NW 2 AV NW 52 ST , 10 , 0 , (12),-20 to 0,TRUE
2555,15490,13590,NW 2 AV@NW 54 ST,D2AV#541,46,MI_FRG,34,6970     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6970,5,38,0,0,10,5,5,-80.19992,25.82501,1366,2,1,1,33,NW 2 AV NW 54 ST, 30 , 40 , 70 , 26 , (80), 2-NW 2 AV NW 54 ST , 10 , 0 , (36),-50 to -20,TRUE
2558,16189,14289,NW 54 ST@NW 2 AV,D54S##26,46,MI_FRG,21,7705     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7705,5,23,0,0,10,5,5,-80.19968,25.82509,1366,2,1,1,33,NW 2 AV NW 54 ST, 30 , 40 , 70 , 26 , (80), 2-NW 2 AV NW 54 ST , 10 , 0 , (49),-50 to -20,TRUE
2559,16190,14290,NW 54 ST@NW 1 AV,D54S##15,46,MI_FRG,5,7706     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7706,5,6,0,0,10,5,5,-80.1984,25.8251,1366,2,1,1,33,NW 2 AV NW 54 ST, 30 , 40 , 70 , 26 , (80), 2-NW 2 AV NW 54 ST , 10 , 0 , (65),-100 to -50,TRUE
2578,16162,14262,NW 54 ST@NW 1 AV,D54S##18,45,MI_NE,23,7678     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7678,5,25,0,0,10,5,5,-80.1982,25.82531,1366,2,1,1,33,NW 2 AV NW 54 ST, 30 , 40 , 70 , 26 , (80), 2-NW 2 AV NW 54 ST , 10 , 0 , (47),-50 to -20,TRUE
2579,16163,14263,NW 54 ST@NW 2 AV,D54S##28,45,MI_NE,59,7679     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,7679,5,65,0,0,10,5,5,-80.20028,25.82526,1366,2,1,1,33,NW 2 AV NW 54 ST, 30 , 40 , 70 , 26 , (80), 2-NW 2 AV NW 54 ST , 10 , 0 , (11),-20 to 0,TRUE
4468,16819,14919,N MIAMI AV@NW 115 ST,NMAV1154,45,MI_NE,2,8444     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8444,5,2,0,0,10,5,5,-80.19828,25.88013,1268,2,1,0,33,N MIAMI AV NW 115 ST, 1 , 3 , 3 , 26 , (80), 2-N MIAMI AV NW 115 ST , 10 , 0 , (1),-20 to 0,TRUE
2574,15491,13591,NW 2 AV@NW 56 ST,D2AV#562,45,MI_NE,17,6971     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,6971,5,19,0,0,10,5,5,-80.20002,25.82718,1367,2,1,1,34,NW 2 AV NW 56 ST, 13 , 40 , 53 , 26 , (80), 2-NW 2 AV NW 56 ST , 10 , 0 , (36),-50 to -20,TRUE
4469,16820,14920,N MIAMI AV@NW 111 ST,NMAV1113,45,MI_NE,1,8445     M,NA,NA,NA,1,0,M,NA,1,5,0,10,0,8445,5,1,0,0,10,5,5,-80.19815,25.87708,1269,2,1,0,34,N MIAMI AV NW 111 ST, 1 , 1 , 1 , 26 , (80), 2-N MIAMI AV NW 111 ST , 10 , 0 , (0),-20 to 0,TRUE
